Report Number,title,link,author,outlier
 ,,,,
The Center has produced the following papers in 2021-22:,,,,
WP 380: ,The Long-Run Effects of Short-Time Compensation,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20380.The%20LongRun%20Effects%20of%20ShortTime%20Compensation.pdf, by Takao Kato and Naomi Kodama,
WP 381: ,"Tillers of Prosperity: Land Ownership, Reallocation, and Structural Transformation",/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20381.Tillers%20of%20Prosperity.pdf, by Shuhei Kitamura,
WP 382: ,The Role of Management Accounting in Stakeholder Theory,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20382.%20The%20Role%20of%20Management%20Accounting%20in%20Stakeholder%20Theory.pdf, by Junya Ohnishi,
WP 383: ,Public Management Accounting in Japan: Case Study of the National Tax Agency in the Ministry of Finance ,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20383.Public%20Management%20Accounting%20in%20Japan.pdf,by Junya Ohnishi,
 ,,,,
The Center has produced the following papers in 2020-21:,,,,
WP 375: ,Japan's Voluntary Lockdown,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20375.Japan_s%20Voluntary%20Lockdown.pdf, by Tsutomu Watanabe and Tomoyoshi Yabu,
WP 376: ,"The Darkside of Pursuing Growth in the Product Cycle — Corruption, Graft, and Bubbles",/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20376.The%20Darkside%20of%20Pursuing%20Growth%20in%20the%20Product%20Cycle.pdf, by William V. Rapp,
WP 377: ,The Welfare Implications of Massive Money Injection: The Japanese Experience from 2013 to 2020,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20377.The%20Welfare%20Implications%20of%20Massive%20Money%20Injection.pdf, by Tsutomu Watanabe,
WP 378: ,A Retrospective on Abenomics,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20378.A%20Retrospective%20on%20Abenomics.pdf, by Edward J. Lincoln,
WP 379: ,Japan’s Voluntary Lockdown: Further Evidence Based on Age-Specific Mobile Location Data,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20379.Japan%E2%80%99s%20Voluntary%20Lockdown%20Further%20Evidence.pdf, by Tsutomu Watanabe and Tomoyoshi Yabu,
 ,,,,
OP 80: ,Japan’s Economy: Stable in a Turbulent World,/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP%2080.Hugh%20Patrick.Stable%20in%20a%20Turbulent%20World.pdf, by Hugh Patrick,
OP 81: ,My Career as an Economist on Japan and the Asia-Pacific,/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP81.%20Hugh%20Patrick.My%20Career%20as%20an%20Economist%20on%20Japan%20and%20the%20Asia-Pacific.pdf, by Hugh Patrick,
 ,,,,
The Center has produced the following papers in 2019-20:,,,,
WP 369: ,Trade Effects on Job Changes through Job Creation and Destruction Responses,https://doi.org/10.7916/d8-pqe3-hy13, by Masahiro Endoh,
WP 370: ,Coming in at a Trickle: The Optimal Frequency of Public Benefit Payments,https://doi.org/10.7916/d8-p9ee-0q39, by Cameron LaPoint and Shogo Sakabe,
WP 371: ,Offshoring and Working Hours Adjustments in a Within-firm Labor Market,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20371.Masahiro%20Endoh.Offshoring%20and%20Working%20Hours%20Adjustments%20in%20a%20Within-firm%20Labor%20Market.pdf, by Masahiro Endoh,
WP 372: ,The Future of Japan's Financial Market,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20372.Nobuyuki%20Kinoshita.The%20Future%20of%20Japan_s%20Financial%20Market.pdf, by Nobuyuki Kinoshita,
WP 373: ,The Responses of Consumption and Prices in Japan to the COVID-19 Crisis and the Tohoku Earthquake,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20373.Tsutomu%20Watanabe.The%20Responses%20of%20Consumption%20and%20Prices%20in%20Japan....pdf, by Tsutomu Watanabe,
WP 374: ,The Effect of the U.S.-China Trade War on U.S. Investment,https://doi.org/10.7916/d8-k7r9-ee90," by Mary Amiti, Sang Hoon Kong, and David E. Weinstein",
 ,,,,
The Center has produced the following papers in 2018-19:,,,,
WP 363: ,The Samurai Bond: Credit Supply and Economic Growth in Pre-War Japan,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20363%20Basco%20Tang%20Samurai%20Bond.pdf, by Sergi Basco and John P. Tang,
WP 364: ,The Neo-Fisher Effect: Econometric Evidence from Empirical and Optimizing Models,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20364%20Uribe%20Neo-Fisher%20Effect.pdf, by Martin Uribe,
WP 365: ,Main Bank Relationship and Accounting Conservatism: Evidence from Japan,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20365%20Sakawa%20Bank%20Conservatism.pdf, by Hideaki Sakawa and Naoki Watanabel ,
WP 366: ,Earnings Management and Internal Control in Bank-dominated Corporate Governance: Evidence from Japan,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20366%20Sakawa%20Earnings%20Management.pdf, by Hideaki Sakawa and Naoki Watanabel,
WP 367: ,Japanese Newspapers,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20367%20Japanese%20Newspapers%20final.pdf, by David Flath,
WP 368: ,The Impact of the 2018 Trade War on U.S. Prices and Welfare,https://doi.org/10.7916/d8-bagf-2748," by Mary Amiti, Stephen J. Redding, and David Weinstein",
OP 79: ,"Japan's Economy: Stable, with Modest Sustained Change",/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP%2079.Hugh%20Patrick.Stable%2C%20with%20Sustained%20Modest%20Change_0519%20update.pdf, by Hugh Patrick,
 ,,,,
The Center has produced the following papers in 2017-18:,,,,
WP 360: ,Difficulties and Challenges: Japan’s Post-War History of Economic Trends and Monetary Policy,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20360.Suzuki.Difficulties%20and%20Challenges.pdf, by Yoshio Suzuki,
WP 361: ,The Crisis that Wasn’t: How Japan Has Avoided a Bond Market Panic,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20361%20Weinstein%20CrisisThatWasnt.pdf, by Mark T. Greenan and David E. Weinstein,
WP 362: ,The Federal Reserve in the Shadow of the Bank of Japan,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20362%20Cargill%20FR%20Shadow%20of%20BOJ.pdf, by Thomas F. Cargill and Gerald P. O'Driscoll Jr.,
OP 78: ,Japan's Economy: Moving Along its Modest Sustainable Growth Path,/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP%2078.Hugh%20Patrick.Japan_s%20Economy%20Modest%20Sustainable.pdf, by Hugh Patrick ,
 ,,,,
The Center has produced the following papers in 2016-17:,,,,
WP 353: ,When Are Uninformed Boards Preferable?,http://dx.doi.org/10.7916/D8CV4HWF, by Naoto Isaka,
WP 354: ,Product Dynamics and Aggregate Shocks: Evidence from Japanese Product and Firm Level Data,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_354.Dekle_et_al.Product_Dynamics_and_Aggregate_Shocks.pdf," by Robert Dekle, Atsushi Kawakami, Nobuhiro Kitoyaki, and Tsutomu Miyagawa",
WP 355: ,In the Eye of the Storm,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_355.Rapp_.Eye_of_the_Storm.pdf, by William Rapp,
WP 356: ,Lessons From Koizumi-Era Financial Services Sector Reforms,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_356.Naomi_Fink.Lessons_from_Koizumi.pdf, by Naomi Fink,
WP 357: ,Lending to Unhealthy Firms in Japan During the Lost Decade: Distinguishing between Technical and Financial Health,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_357.Peek-Chakraborty.Lending_to_Unhealthy_Firms.pdf, by Suparna Chakraborty and Joe Peek,
WP 358: ,"Are Picked-up Losers Really Losers?: Evidence from Scrapping Policies in the Japanese Spinning Industry, 1965-79",/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20358.Korenaga.Are%20Picked-up%20Losers%20Really%20Losers.Final_.pdf, by Takafumi Korenaga,
WP 359: ,A New Governance Framework for Global Financial Regulation?,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20359.Kono_.A%20New%20Governance%20Framework%20for%20Global%20Financial%20Regulation.F....pdf, by Masamichi Kono,
OP 77: ,"Review of Yoshio Suzuki's “Difficulties and Challenges, Japan’s Post-War History of Monetary Policy and Economic Trends”",/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP%2077.Hugh%20Patrick.Review%20of%20Yoshio%20Suzuki_s%20Difficulties%20and%20Challenges.June%20_17.pdf, by Hugh Patrick,
 ,,,,
The Center has produced the following papers in 2015-16:,,,,
WP 344: ,Was the Forex Fixing Fixed?,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_344.Ito_.Yamada.Was_Forex_Fixing_Fixed.Final_.8-26-15%20(1).pdf, by Takatoshi Ito and Masahiro Yamada,
WP 345: ,"Heterogeneity in Japanese TFP, Part 1: Why Overcoming Deflation Alone is Not Enough",/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_345.Naomi_Fink.Why_Overcoming_Deflation_Alone_is_Not_Enough%20(1).pdf, by Naomi Fink,
WP 346: ,Education and Marriage Decisions of Japanese Women and the Role of the Equal Employment Opportunity Act,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_346.Edwards_et_al.Education_and_Marriage_Decisions_of_Japanese_Women.pdf," by Linda Edwards, Takuya Hasebe and Tadashi Sakai",
WP 347: ,"Heterogeneity in Japanese TFP, Part 2: Regulation, Capital Allocation, and TFP in Japan",/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_347.Fink_.Heterogeneity_in_Japanese_TFP__Part_II.pdf, by Naomi Fink,
WP 348: ,Good Jobs and Bad Jobs in Japan: 1982-2007,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_348.Kambayashi-Kato.Good_Jobs_Bad_Jobs.June2016.pdf, by Ryo Kambayashi and Takao Kato,
WP 349: ,Growth Convergence and the Middle Income Trap,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_349.Taka_Ito.GrowthConvergenceMiddleIncomeTrap.Final_.pdf, by Takatoshi Ito,
WP 350: ,The Regional Spillover Effects of the Tohoku Earthquake,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_350.DekleHongXie.Regional_Spillover_Effects_of_the_Tohoku_Earthquake.pdf," by Robert Dekle, Eunpyo Hong, and Wei Xie",
WP 351: ,Four Types of Attitudes Towards Foreign Workers: Evidence from a Survey in Japan,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_351.Rosenbluth_et_al.Four-types-attitudes.pdf," by Frances Rosenbluth, Rieko Kage, and Seiki Tanaka",
WP 352: ,Puzzles in the Forex Tokyo “Fixing”: Order Imbalances and Biased Pricing by Banks,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_352.Ito-Yamada.Tokyo_Fixing_Puzzles.pdf, by Takatoshi Ito and Masahiro Yamada,
OP 73: ,Hiroshima Kosoku Kotsu Corporation,/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP_73.HP_.Hiroshima_Kosoku_Kotsu_Corporation.pdf, by Hugh Patrick,
OP 74: ,Japan's Abenomics Bumps Along,/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP_74.HP_.Japan_s_Abenomics_Bumps_Along.pdf, by Hugh Patrick ,
OP 75: ,The Current Situation in the Japanese Economy and its Financial Markets – What is the Effect of the Negative Interest Rate?,/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP_75.Kinoshita.The_Current_Situation_in_the_Japanese_Economy_and_its_Financial_Markets.pdf, by Yasushi Kinoshita,
OP 76: ,Interview with Hugh Patrick,/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP_76.Interview_w-_Hugh_Patrick.pdf, by Anna Balderston,
 ,,,,
The Center has produced the following papers in 2014-15:,,,,
WP 338: ,Quantifying Sentiment for the Japanese Economy as Predictors of Stock Prices,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_338.Hiroshi_Ishijima.Quantifying_Sentiment.pdf, by Hiroshi Ishijima,
WP 339: ,Japanese Monetary Policy and International Spillovers,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_340.Drysdale-Armstrong.Japan_s_Foreign_Economic_Policy_Strategies.pdf, by Robert Dekle and Koichi Hamada,
WP 340: ,Japan’s Foreign Economic Policy Strategies and Economic Performance,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_340.Drysdale-Armstrong.Japan_s_Foreign_Economic_Policy_Strategies.pdf, by Shiro Armstrong and Peter Drysdale,
WP 341: ,Absence of Safe Assets and Fiscal Crisis,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_341.Sakuragawas.Absence_of_Safe_Assets_15_04_04.pdf, by Masaya Sakuragawa and Yukie Sakuragawa,
WP 342: ,Selective Disclosure: The Case of Nikkei Preview Articles,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_342.Hamao_.Selective_Disclosure.4-15.pdf," by William Goetzmann, Yasushi Hamao, and Hidenori Takahashi",
WP 343: ,Exchange Rate Exposure and Risk Management: The Case of Japanese Exporting Firms,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_343.Ito_et_al.IKSS__ExchR_Expo_Risk_Mgmt_.pdf," by Takatoshi Ito, Satoshi Koibuchi, Kiyotaka Sato, and Junko Shimizu",
OP 67: ,"Japan's Abenomics: So Far So Good, But Will It Prevail? ",/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP_67.HP_.Japan_s_Abenomics_-_So_Far_So_Good.Hugh_Patrick.pdf,by Hugh Patrick,
OP 68: ,"Nagasaki Jidousya Co., Ltd.",/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP_68.HP_.Nagasaki_Jidousya_Co.pdf, by Hugh Patrick,
OP 69: ,Oshima Shipbuilding Company,/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP_69.HP_.Oshima_Shipbuilding_Company.pdf, by Hugh Patrick,
OP 70: ,Kamotsuru Sake Brewing Company,/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP_70.HP_.Kamotsuru_Sake_Brewing_Company.pdf, by Hugh Patrick,
OP 71: ,Rethinking the Growth Strategy: Competition is the Way Toward Strengthening Agriculture,/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP_71.Ito-Homna.Rethinking_the_Growth_Strategy.pdf, by Takatoshi Ito and Masayoshi Homna,
OP 72: ,The Future of the Asian Infrastructure Investment Bank:  Concerns for Transparency and Governance,/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP_72.Ito_.Future_of_the_AIIB.pdf, by Takatoshi Ito,
 ,,,,
The Center has produced the following papers in 2013-14:,,,,
WP 321: ,Real Exchange Rates in a Model of Structural Change: Applications to the Real Yen-Dollar and Chinese RMB-Dollar Exchange Rates,http://hdl.handle.net/10022/AC:P:21149, by Robert Dekle,
WP 322: ,How Making it Easier to Succeed Reduces Success: IPO Reform and New Firm Performance,http://hdl.handle.net/10022/AC:P:21150," by Robert Eberhart, Kathleen Eisenhardt, and Charles Eesley",
WP 323: Saving–Investment Balance and Fiscal Sustainability of Japan: A View from the JGB Market by Tokuo Iwaisako,,,,
WP 324: ,Academic Entrepreneurship: A Comparison of U.S. and Japanese Promotion of Information Technology & Computer Science,http://hdl.handle.net/10022/AC:P:21190, by Robert Cole,
WP 325: ,The Market for Corporate Subsidiaries in Japan: An Empirical Study of Trades Among Listed Firms,http://hdl.handle.net/10022/AC:P:21306, by Ulrike Schaede and Tatsuo Ushijima,
WP 326: ,"Good Jobs, Bad Jobs, and the Great Recession: Lessons from Japan’s Lost Decade",http://hdl.handle.net/10022/AC:P:21307, by Ryo Kambayashi and Takao Kato,
WP 327: ,"Acquisitions, Productivity, and Profitability: Evidence from the Japanese Cotton Spinning Industry",http://hdl.handle.net/10022/AC:P:21309," by Serguey Braguinsky, Atsushi Ohyama, Tetsuji Okazaki, and Chad Syverson",
WP 328: ,Does Embeddedness Reduce Innovation and Differentiation? Evidence from the Japanese Microbrewery Industry,http://hdl.handle.net/10022/AC:P:21751, by Christina Ahmadjian and Jesper Edman,
WP 329: ,Framing From Afar: External Agents and the Construction of the Japanese Ji-Buru Industry,http://hdl.handle.net/10022/AC:P:21752, by Christina Ahmadjian and Jesper Edman,
WP 330: ,How Much Do Official Price Indexes Tell Us About Inflation?,http://hdl.handle.net/10022/AC:P:21993," by Jessie Handbury, Tsutomu Watanabe, and David E. Weinstein",
WP 331: ,Five Years Later: Lessons from the Financial Crisis,http://hdl.handle.net/10022/AC:P:22040, by Jeffrey Shafer,
WP 332: ,Japan Post Insurance: Unjustified Favoritism,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_332.Ed_Lincoln.Japan_Post_Insurance%20(1).pdf, by Edward Lincoln,
WP 333: ,Nonlinear Pricing of Japanese Newspapers,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_333.David_Flath.Nonlinear_Pricing_of_Japanese_Newspapers.11-13.pdf, by David Flath,
WP 334: ,Japanese Newspapers,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_334.Flath_.Japanese_Newspapers.pdf, by David Flath,
WP 335: ,The Structure and Evolution of Buyer-Supplier Networks,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP_335.Mizuno-Souma-Watanabe.Buyer-Supplier_Networks.pdf," by Takayuki Mizuno, Wataru Souma, and Tsutomu Watanabe",
WP 336: ,Spinning Tales About Japanese Cotton Spinning: Saxonhouse (1974) Then And Now,/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20366%20Sakawa%20Earnings%20Management.pdf, by Serguey Braguinsky and David A. Hounshell,
WP 337: ,"Explaining the Rise of East Asian Multinationals: State-Industry Links, a Stages Model of Structural Change, and Japan as a Precedent Setter",/sites/default/files-efs/imce-uploads/Research/Research_Papers/WP%20377.The%20Welfare%20Implications%20of%20Massive%20Money%20Injection.pdf, by Terutomo Ozawa,
OP 62: ,Abenomics: Japan's New Economic Policy Package,http://hdl.handle.net/10022/AC:P:21134, by Hugh Patrick,
OP 63: ,Hagihara Industries Inc.,http://hdl.handle.net/10022/AC:P:21311, by Hugh Patrick,
OP 64: ,Ryobi Holdings Company and Ryobi Group,http://academiccommons.columbia.edu/item/ac:164080, by Hugh Patrick,
OP 65: ,Insurance Enterprise Risk Management: Toward The Next Generation,/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP_65.Shigeyuki_Goto.Insurance.pdf, by Shigeyuki Goto,
OP 66: ,Japan's Abenomics: Recovery Leading to Good Growth?,/sites/default/files-efs/imce-uploads/Research/Research_Papers/OP_66.HP_.Japan_s_Abenomics.pdf, by Hugh Patrick,
 ,,,,
The Center produced the following papers in 2012-13:,,,,
WP 304: ,Nice To Be On the A-List,http://hdl.handle.net/10022/AC:P:14404, by Yasushi Hamao,
WP 305: ,Uninsurable Risk and the Determination of Real Interest Rates: An Investigation Using UK Indexed Bonds,http://hdl.handle.net/10022/AC:P:13273," by David Barr, Parantap Basu and Kenji Wada",
WP 306: ,"Is Japan Really a “Buy”? The Corporate Governance, Cash Holdings, and Economic Performance of Japanese Companies",http://hdl.handle.net/10022/AC:P:14725," by Kazuo Kato, Meng Li, and Douglas Skinner",
WP 307: ,How Long Will Japanese Government Bond Prices Remain High?,http://hdl.handle.net/10022/AC:P:14726, by Takeo Hoshi and Takatoshi Ito,
WP 308: ,Policy Options for Japan's Revival,http://hdl.handle.net/10022/AC:P:18767, by Takeo Hoshi and Anil Kashyap,
WP 309: ,Turning Japanese? Lessons from Japan’s Lost Decade to the Current Crisis,http://hdl.handle.net/10022/AC:P:18768, by Masazumi Wakatabe,
WP 310: ,How Much Do Bank Shocks Affect Investment? Evidence from Matched Bank-Firm Loan Data,http://hdl.handle.net/10022/AC:P:18769, by Mary Amiti and David E. Weinstein - *updated March 2013*,
WP 311: ,Brides for Sale: Cross-Border Marriages and Female Immigration,http://hdl.handle.net/10022/AC:P:18770, by Daiji Kawaguchi and Soohyung Lee,
WP 312: ,Japan Post Bank: Problematic Issues,http://hdl.handle.net/10022/AC:P:19520, by Edward Lincoln,
WP 313: ,Syncretism: The Politics of Japan's Financial Reforms,http://hdl.handle.net/10022/AC:P:19521, by Kenji Kushida and Kay Shimizu,
WP 314: ,Monetary Policy and Transmission of Bubbles,http://hdl.handle.net/10022/AC:P:19522, by Masaya Sakuragawa and Naoki Shinada,
WP 315: Killing Two Birds With One Stone: Board Reforms in the Japanese Electronics Industry by Christina Ahmadjian and Toru Yoshikawa,,,,
WP 316: ,Legal Background to the Low Profitability of Japanese Enterprises,http://hdl.handle.net/10022/AC:P:19882, by Nobuyuki Kinoshita,
WP 317: ,Information and Export Decisions: Bank's Role as a Conduit of Information,http://hdl.handle.net/10022/AC:P:19883," by Tomohiko Inui, Keiko Ito, Daisuke Miyakawa, and Keishi Shoji",
WP 318: ,Samsung and LG: From Also-Rans to Dominance in Consumer Electronics,http://academiccommons.columbia.edu/item/ac:159658, by Robert Myers,
WP 319: ,The Dynamics of Multinational Corporation-Impacted Comparative Advantage: Relevancy to Ricardo's View on Cross-border Investment and Samuelson's Skepticism about Globalization,http://hdl.handle.net/10022/AC:P:19885, by Terutomo Ozawa,
WP 320: ,"The Classical Origins of Akamatsu's ""Flying-Geese"" Theory: A Note on a Missing Link to David Hume",http://hdl.handle.net/10022/AC:P:19886, by Terutomo Ozawa,
OP 60: ,Built-in Stabilizers and Risk Literacy: Protecting the Sustainability of the Insurance Industry,http://hdl.handle.net/10022/AC:P:13333, by Shigeyuki Goto,"
OP 61: Japan’s Sputtering Economic Recovery Amid Heightened Political Turmoil by Hugh Patrick"
All WPs and OPs are available at ,Columbia University Academic Commons,https://academiccommons.columbia.edu/search?f%5Bfeatured_search%5D%5B%5D=cjeb,", an institutional repository program sponsored by the Columbia University Libraries.  These papers are searchable by keyword, or can be found directly in the following categories:",
CJEB Working Paper Series,CJEB Working Paper Series,https://academiccommons.columbia.edu/search?f%5Bfeatured_search%5D%5B%5D=cjeb-workingpapers,,
CJEB Occasional Paper Series,CJEB Occasional Paper Series,https://academiccommons.columbia.edu/search?f%5Bfeatured_search%5D%5B%5D=cjeb-occasionalpapers,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
